Name,Genre,Description
"skylark (skylark, #1)",youngadult,"sixteen-year-old lark ainsley has never seen the sky. her world ends at the edge of the vast domed barrier of energy enclosing all that's left of humanity. for two hundred years the city has sustained this barrier by harvesting its children's innate magical energy when they reach adolescence. when it's lark's turn to be harvested, she finds herself trapped in a nightmarish web of experiments and learns she is something out of legend itself: a renewable, able to regenerate her own power after it's been stripped. forced to flee the only home she knows to avoid life as a human battery, lark must fight her way through the terrible wilderness beyond the edge of the world. with the city's clockwork creations close on her heels and a strange wild boy stalking her in the countryside, she must move quickly if she is to have any hope of survival. she's heard the stories that somewhere to the west are others like her, hidden in secret--but can she stay alive long enough to find them? Sixteen-year-old Lark Ainsley has never seen the sky. Her world ends at the edge of the vast domed barrier of energy enclosing all that's left of humanity. For two hundred years the city has sustained this barrier by harvesting its children's innate magical energy when they reach adolescence. When it's Lark's turn to be harvested, she finds herself trapped in a nightmarish web of experiments and learns she is something out of legend itself: a Renewable, able to regenerate her own power after it's been stripped. Forced to flee the only home she knows to avoid life as a human battery, Lark must fight her way through the terrible wilderness beyond the edge of the world. With the city's clockwork creations close on her heels and a strange wild boy stalking her in the countryside, she must move quickly if she is to have any hope of survival. She's heard the stories that somewhere to the west are others like her, hidden in secret--but can she stay alive long enough to find them?"
"the black knife (the orphan queen, #0",youngadult,"4) . skyvale is on the verge of becoming a battleground. told from the perspective of tobiah, the crown prince with a dangerous secret, and set two years before the heart-racing action of the orphan queen, this 100-page digital novella brings to life one of jodi meadows's most beloved characters. tobiah pierce has been beaten and broken and has lost two people he cares about. his worst enemy knows his deepest secret. what he thought he knew about his family has fallen apart. and his parents push harder than ever for him to court lady meredith. but with the imminent threat of firefly, the newest and deadliest version of a magical drug, tobiah doesn't have time to sort through his problems. if he doesn't act immediately, firefly will suffocate the city and everyone in it. the black knife is the final of four prequel novellas that offer existing fans a deeper insight into a favorite character and the complex city of skyvale, while new readers will find a stunning introduction to this rich world and the heart-pounding fantasy of the orphan queen series. Skyvale is on the verge of becoming a battleground. Told from the perspective of Tobiah, the crown prince with a dangerous secret, and set two years before the heart-racing action of The Orphan Queen, this 100-page digital novella brings to life one of Jodi Meadows's most beloved characters. Tobiah Pierce has been beaten and broken and has lost two people he cares about. His worst enemy knows his deepest secret. What he thought he knew about his family has fallen apart. And his parents push harder than ever for him to court Lady Meredith. But with the imminent threat of firefly, the newest and deadliest version of a magical drug, Tobiah doesn't have time to sort through his problems. If he doesn't act immediately, firefly will suffocate the city and everyone in it. The Black Knife is the final of four prequel novellas that offer existing fans a deeper insight into a favorite character and the complex city of Skyvale, while new readers will find a stunning introduction to this rich world and the heart-pounding fantasy of the Orphan Queen series."
the friendship pact,youngadult,"tracy's favorite tv star is coming to town, and she will do anything to meet him face to face the two people tracy loves most are rabbit o'shea, a smooth-talking bad boy, and ross perlman, an innocent young man with a golden voice. she could never choose between them, and she'll never have to, because rabbit is a tv character, and ross is the actor who plays him. when ross announces a concert in tracy's hometown, she pledges to do whatever it takes to meet the real-life rabbit--a decision that could cost her everything she holds dear. she and her best friend, andrea, make a pact that they will meet ross together or not at all. but when one of them gets the chance to meet him alone, it threatens to tear their friendship apart. suddenly, tracy finds herself longing for the days when ross perlman was just another poster on her wall. Tracy's favorite TV star is coming to town, and she will do anything to meet him face to face The two people Tracy loves most are Rabbit O'Shea, a smooth-talking bad boy, and Ross Perlman, an innocent young man with a golden voice. She could never choose between them, and she'll never have to, because Rabbit is a TV character, and Ross is the actor who plays him. When Ross announces a concert in Tracy's hometown, she pledges to do whatever it takes to meet the real-life Rabbit--a decision that could cost her everything she holds dear. She and her best friend, Andrea, make a pact that they will meet Ross together or not at all. But when one of them gets the chance to meet him alone, it threatens to tear their friendship apart. Suddenly, Tracy finds herself longing for the days when Ross Perlman was just another poster on her wall."
"my date from hell (the blooming goddess trilogy, #2)",youngadult,"whatever happened to dinner and a movie? with zeus stepping things up, it's vital that sophie retrieve persephone's memories and discover the location of the ritual to stop zeus and hades. so when aphrodite strikes a deal that can unlock sophie's pre-mortal past, what choice does the teen goddess have but to accept? the mission: stop media mogul hermes from turning mean girl bethany into a global mega-celebrity. the catch? aphrodite partners sophie and kai to work together ... and treat this suicide mission as a date. which could work out for sophie's plan to force kai to admit his feelings for her-if she doesn't kill him first. the ya romantic comedy/greek mythology fireworks continue to fly in my date from hell. love meets comedy with a whole lot of sass in book two of this teen fantasy romance series. breaking up is easy; dating is deadly. Whatever happened to dinner and a movie? With Zeus stepping things up, it's vital that Sophie retrieve Persephone's memories and discover the location of the ritual to stop Zeus and Hades. So when Aphrodite strikes a deal that can unlock Sophie's pre-mortal past, what choice does the teen goddess have but to accept? The mission: stop media mogul Hermes from turning mean girl Bethany into a global mega-celebrity. The catch? Aphrodite partners Sophie and Kai to work together ... and treat this suicide mission as a date. Which could work out for Sophie's plan to force Kai to admit his feelings for her-if she doesn't kill him first. The YA romantic comedy/Greek mythology fireworks continue to fly in My Date From Hell. Love meets comedy with a whole lot of sass in book two of this teen fantasy romance series. Breaking up is easy; dating is deadly."
the blessed,youngadult,"from the author of the new york times bestselling ghostgirl series, the start to a captivating and haunting teen trilogy about three girls who become entangled with an enigmatic boy--a boy who believes he is a saint. what if martyrs and saints lived among us? and what if you were told you were one of them? meet agnes, cecilia, and lucy. three lost girls, each searching for something. but what they find is beyond belief. From the author of the New York Times bestselling ghostgirl series, the start to a captivating and haunting teen trilogy about three girls who become entangled with an enigmatic boy--a boy who believes he is a saint. What if martyrs and saints lived among us? And what if you were told you were one of them? Meet Agnes, Cecilia, and Lucy. Three lost girls, each searching for something. But what they find is Beyond Belief."
"soul screamers volume three (soul screamers #5, 5",youngadult,"5, 6) . what happens when the reapers come for kaylee? don't miss volume three of new york timesbestselling author rachel vincent's compelling, spellbinding soul screamers series. if i die thanks to her mother's sacrifice, kaylee cavanaugh has lived most of her life on borrowed time, but now that borrowed time is almost up. kaylee has only seven days left to prepare for the end. to say goodbye. and yeah, to stop an incubus from preying on her high school. tick tock... before i wake dying wasn't easy for kaylee, but faking life is a whole new kind of struggle. the only good moments are those spent in tod's arms. but death hasn't stopped her old enemies, and now everyone kaylee loves is in danger.... never to sleepfirst time in print! sophie cavanaugh is sick of the social fallout from her cousin kaylee's mental issues. doesn't she realize people think ""crazy"" runs in the family? but then a cute boy, a fateful scream and a trip to a nightmare world leave sophie wondering just what's real-and how to get home.... soul screamers... the last thing you hear before you die. What happens when the reapers come for Kaylee? Don't miss Volume Three of New York Timesbestselling author Rachel Vincent's compelling, spellbinding Soul Screamers series. IF I DIE Thanks to her mother's sacrifice, Kaylee Cavanaugh has lived most of her life on borrowed time, but now that borrowed time is almost up. Kaylee has only seven days left to prepare for the end. To say goodbye. And yeah, to stop an incubus from preying on her high school. Tick tock... BEFORE I WAKE Dying wasn't easy for Kaylee, but faking life is a whole new kind of struggle. The only good moments are those spent in Tod's arms. But death hasn't stopped her old enemies, and now everyone Kaylee loves is in danger.... NEVER TO SLEEPFirst time in print! Sophie Cavanaugh is sick of the social fallout from her cousin Kaylee's mental issues. Doesn't she realize people think ""crazy"" runs in the family? But then a cute boy, a fateful scream and a trip to a nightmare world leave Sophie wondering just what's real-and how to get home.... Soul Screamers... The last thing you hear before you die."
beyond reach (true calling #2),youngadult,"some secrets are worth fighting for back on earth, ariana is caught in a dangerous crossfire between clandestine rebel organization clementia and the power-hungry government. refusing to divulge the location of the secret information entrusted to her by her late father, she desperately tries to bargain for her mom, lily, and cal's rescue. she's fighting a losing battle, and the clock is ticking. presented with evidence of her fiance cal's apparent betrayal, she loyally defends him despite her concerns. with her emotions in turmoil, matters become even more complicated as she grows closer to her ex-boyfriend zane. when the stakes are raised, a succession of shocking revelations rocks her world, setting her on a path that will not only change her destiny but the fate of humanity. confronted by a memory so abhorrent comes a truth she would do anything to forget. but some things just can't be undone. SOME SECRETS ARE WORTH FIGHTING FOR Back on Earth, Ariana is caught in a dangerous crossfire between clandestine rebel organization Clementia and the power-hungry government. Refusing to divulge the location of the secret information entrusted to her by her late father, she desperately tries to bargain for her Mom, Lily, and Cal's rescue. She's fighting a losing battle, and the clock is ticking. Presented with evidence of her fiance Cal's apparent betrayal, she loyally defends him despite her concerns. With her emotions in turmoil, matters become even more complicated as she grows closer to her ex-boyfriend Zane. When the stakes are raised, a succession of shocking revelations rocks her world, setting her on a path that will not only change her destiny but the fate of humanity. Confronted by a memory so abhorrent comes a truth she would do anything to forget. But some things just can't be undone."
"city of ashes (the mortal instruments, #2)",youngadult,"clary fray just wishes that her life would go back to normal. but what's normal when you're a demon-slaying shadowhunter, your mother is in a magically induced coma, and you can suddenly see downworlders like werewolves, vampires, and faeries? if clary left the world of the shadowhunters behind, it would mean more time with her best friend, simon, who's becoming more than a friend. but the shadowhunting world isn't ready to let her go--especially her handsome, infuriating, newfound brother, jace. and clary's only chance to help her mother is to track down rogue shadowhunter valentine, who is probably insane, certainly evil--and also her father. to complicate matters, someone in new york city is murdering downworlder children. is valentine behind the killings--and if he is, what is he trying to do? when the second of the mortal instruments, the soul-sword, is stolen, the terrifying inquisitor arrives to investigate and zooms right in on jace. how can clary stop valentine if jace is willing to betray everything he believes in to help their father? in this breathtaking sequel to city of bones, cassandra clare lures her readers back into the dark grip of new york city's downworld, where love is never safe and power becomes the deadliest temptation. Clary Fray just wishes that her life would go back to normal. But what's normal when you're a demon-slaying Shadowhunter, your mother is in a magically induced coma, and you can suddenly see Downworlders like werewolves, vampires, and faeries? If Clary left the world of the Shadowhunters behind, it would mean more time with her best friend, Simon, who's becoming more than a friend. But the Shadowhunting world isn't ready to let her go--especially her handsome, infuriating, newfound brother, Jace. And Clary's only chance to help her mother is to track down rogue Shadowhunter Valentine, who is probably insane, certainly evil--and also her father. To complicate matters, someone in New York City is murdering Downworlder children. Is Valentine behind the killings--and if he is, what is he trying to do? When the second of the Mortal Instruments, the Soul-Sword, is stolen, the terrifying Inquisitor arrives to investigate and zooms right in on Jace. How can Clary stop Valentine if Jace is willing to betray everything he believes in to help their father? In this breathtaking sequel to City of Bones, Cassandra Clare lures her readers back into the dark grip of New York City's Downworld, where love is never safe and power becomes the deadliest temptation."
"forever in blue: the fourth summer of the sisterhood (sisterhood, #4)",youngadult,"""genuinely moving,"" declared entertainment weeklyof the fourth and final novel in the #1 new york timesbestselling sisterhood of the traveling pants series by ann brashares, author of the here and now. with unraveled embroidery and fraying hems, the traveling pants are back for one last, glorious summer. it's a summer that will forever change the lives of lena, bridget, tibby, and carmen, here and now, past and future, together and apart. ""a strong, satisfying conclusion."" --booklist  ""an ode to love and friendship."" --kirkus reviews ""a great read."" --daily news (new york) pants = love. love your pals. love yourself. ""Genuinely moving,"" declared Entertainment Weeklyof the fourth and final novel in the #1 New York Timesbestselling Sisterhood of the Traveling Pants series by Ann Brashares, author of The Here and Now. With unraveled embroidery and fraying hems, the Traveling Pants are back for one last, glorious summer. It's a summer that will forever change the lives of Lena, Bridget, Tibby, and Carmen, here and now, past and future, together and apart. ""A strong, satisfying conclusion."" --Booklist  ""An ode to love and friendship."" --Kirkus Reviews ""A great read."" --Daily News (New York) Pants = love. Love your pals. Love yourself."
"awaken (abandon, #3)",youngadult,"for fans of stephenie meyer and p.c. cast comes the third book in the dark and dangerously seductive trilogy from bestselling teen author meg cabot. seventeen-year-old pierce oliviera knew that by accepting the undying love of john hayden she'd be forced to live forever in the one place she's always dreaded most: the underworld. the sacrifice seemed worth it, but now her happiness and safety in the realm are threatened. the furies have discovered that john has broken one of their strictest rules and revived a dead soul. if the balance of life and death isn't restored, both the underworld and pierce's home on earth will be wiped out by the furies' wrath. pierce has already cheated death once . . . can she do it again? For fans of Stephenie Meyer and P.C. Cast comes the third book in the dark and dangerously seductive trilogy from bestselling teen author Meg Cabot. Seventeen-year-old Pierce Oliviera knew that by accepting the undying love of John Hayden she'd be forced to live forever in the one place she's always dreaded most: the Underworld. The sacrifice seemed worth it, but now her happiness and safety in the realm are threatened. The Furies have discovered that John has broken one of their strictest rules and revived a dead soul. If the balance of life and death isn't restored, both the Underworld and Pierce's home on Earth will be wiped out by the Furies' wrath. Pierce has already cheated death once . . . can she do it again?"
"the midnight star (the young elites, #3)",youngadult,"for the uk ebook edition, see . the thrilling finale to the new york timesbestselling young elites series from ""hit factory"" marie lu there was once a time when darkness shrouded the world, and the darkness had a queen. adelina amouteru is done suffering. she's turned her back on those who have betrayed her and achieved the ultimate revenge: victory. her reign as the white wolf has been a triumphant one, but with each conquest her cruelty only grows. the darkness within her has begun to spiral out of control, threatening to destroy all that she's achieved. adelina's forced to revisit old wounds when a new danger appears, putting not only adelina at risk, but every elite and the very world they live in. in order to save herself and preserve her empire, adelina and her roses must join the daggers on a perilous quest--though this uneasy alliance may prove to be the real danger. bestselling author marie lu concludes adelina's story with this haunting and hypnotizing... For the UK ebook edition, see . The thrilling finale to the New York Timesbestselling Young Elites series from ""hit factory"" Marie Lu There was once a time when darkness shrouded the world, and the darkness had a queen. Adelina Amouteru is done suffering. She's turned her back on those who have betrayed her and achieved the ultimate revenge: victory. Her reign as the White Wolf has been a triumphant one, but with each conquest her cruelty only grows. The darkness within her has begun to spiral out of control, threatening to destroy all that she's achieved. Adelina's forced to revisit old wounds when a new danger appears, putting not only Adelina at risk, but every Elite and the very world they live in. In order to save herself and preserve her empire, Adelina and her Roses must join the Daggers on a perilous quest--though this uneasy alliance may prove to be the real danger. Bestselling author Marie Lu concludes Adelina's story with this haunting and hypnotizing..."
"tool of war (ship breaker, #3)",youngadult,"this third book in a major series by a bestselling science fiction author, printz award winner, and national book award finalist is the gripping story of the most provocative character from his acclaimed novels ship breaker and the drowned cities. tool, a half-man/half-beast designed for combat, is capable of so much more than his creators had ever dreamed. he has gone rogue from his pack of bioengineered ""augments"" and emerged a victorious leader of a pack of human soldier boys. but he is hunted relentlessly by someone determined to destroy him, who knows an alarming secret: tool has found the way to resist his genetically ingrained impulses of submission and loyalty toward his masters... the time is coming when tool will embark on an all-out war against those who have enslaved him. from one of science fiction's undisputed masters comes a riveting page-turner that pulls no punches. ""suzanne collins may have put dystopian literature on the ya map with 'the hunger games'...but bacigalupi is one of the genre's masters, employing inventively terrifying details in equally imaginative story lines."" --los angeles times This third book in a major series by a bestselling science fiction author, Printz Award winner, and National Book Award finalist is the gripping story of the most provocative character from his acclaimed novels Ship Breaker and The Drowned Cities. Tool, a half-man/half-beast designed for combat, is capable of so much more than his creators had ever dreamed. He has gone rogue from his pack of bioengineered ""augments"" and emerged a victorious leader of a pack of human soldier boys. But he is hunted relentlessly by someone determined to destroy him, who knows an alarming secret: Tool has found the way to resist his genetically ingrained impulses of submission and loyalty toward his masters... The time is coming when Tool will embark on an all-out war against those who have enslaved him. From one of science fiction's undisputed masters comes a riveting page-turner that pulls no punches. ""Suzanne Collins may have put dystopian literature on the YA map with 'The Hunger Games'...but Bacigalupi is one of the genre's masters, employing inventively terrifying details in equally imaginative story lines."" --Los Angeles Times"
lost property,youngadult,"i hoped michael was all right. i'd bring him back, though, if i could find him. what could be more precious, what could be more valuable to my family than michael? this was going to be so good. roll on, bus, i cried in my head. from the outside, josh's life looks pretty much perfect. he's in a band, he has a gorgeous girlfriend and he does well at school. but josh's family has been slowly falling apart since his older brother disappeared two years before. then josh comes across a clue to michael's whereabouts in the lost property office where he's working for the holidays. determined to put his family back together, and without a word to anyone, josh too leaves sydney in a desperate bid to bring his brother home. I hoped Michael was all right. I'd bring him back, though, if I could find him. What could be more precious, what could be more valuable to my family than Michael? This was going to be so good. Roll on, bus, I cried in my head. From the outside, Josh's life looks pretty much perfect. He's in a band, he has a gorgeous girlfriend and he does well at school. But Josh's family has been slowly falling apart since his older brother disappeared two years before. Then Josh comes across a clue to Michael's whereabouts in the Lost Property Office where he's working for the holidays. Determined to put his family back together, and without a word to anyone, Josh too leaves Sydney in a desperate bid to bring his brother home."
"the dead of the night (tomorrow, #2)",youngadult,"alternate cover edition for  hell is still the safest place on earth. when you've run out of choices, you've only got yourself. as war rages, as the enemy closes in, as ellie and her friends fight for their lives, they are left with nothing. nothing but courage, spirit and pride. the dead of the nightis the second volume in the award-winning tomorrowseries. Alternate cover edition for  Hell is still the safest place on earth. When you've run out of choices, you've only got yourself. As war rages, as the enemy closes in, as Ellie and her friends fight for their lives, they are left with nothing. Nothing but courage, spirit and pride. The Dead of the Nightis the second volume in the award-winning Tomorrowseries."
"being nikki (airhead, #2)",youngadult,"things aren't pretty for emerson watts. em was sure there couldn't be anything worse than being a brainiac in the body of a teenaged supermodel. but it turned out she was wrong. it turns out she has a mother who's gone mysteriously missing, a brother who's shown up on her doorstep demanding answers, a former best friend who's intent on destroying stark enterprises, and a british heartthrob who's written a song about her that's topping the charts. how can em balance all that with school and runway shows - especially when she's got ex-boyfriends crawling out of the woodwork who want more than just a photo op, a sister who is headed to the high school cheerleading championships, and a company she represents that seems to be turning to the dark side... not to mention trying to convince the love of her life that models aren't really airheads after all... especially one model in particular. but then, nobody said it was going to be easy being nikki. THINGS AREN'T PRETTY FOR EMERSON WATTS. Em was sure there couldn't be anything worse than being a brainiac in the body of a teenaged supermodel. But it turned out she was wrong. It turns out she has a mother who's gone mysteriously missing, a brother who's shown up on her doorstep demanding answers, a former best friend who's intent on destroying Stark Enterprises, and a British heartthrob who's written a song about her that's topping the charts. How can Em balance all that with school and runway shows - especially when she's got ex-boyfriends crawling out of the woodwork who want more than just a photo op, a sister who is headed to the high school cheerleading championships, and a company she represents that seems to be turning to the dark side... Not to mention trying to convince the love of her life that models aren't really airheads after all... especially one model in particular. BUT THEN, NOBODY SAID IT WAS GOING TO BE EASY BEING NIKKI."
carve the mark,youngadult,"fans of star wars and divergent will revel in internationally bestselling author veronica roth's stunning new science-fiction fantasy series. on a planet where violence and vengeance rule, in a galaxy where some are favored by fate, everyone develops a currentgift, a unique power meant to shape the future. while most benefit from their currentgifts, akos and cyra do not--their gifts make them vulnerable to others' control. can they reclaim their gifts, their fates, and their lives, and reset the balance of power in this world? cyra is the sister of the brutal tyrant who rules the shotet people. cyra's currentgift gives her pain and power--something her brother exploits, using her to torture his enemies. but cyra is much more than just a blade in her brother's hand: she is resilient, quick on her feet, and smarter than he knows. akos is from the peace-loving nation of thuvhe, and his loyalty to his family is limitless. though protected by his unusual currentgift, once akos and his brother are captured by enemy shotet soldiers, akos is desperate to get his brother out alive--no matter what the cost. when akos is thrust into cyra's world, the enmity between their countries and families seems insurmountable. they must decide to help each other to survive--or to destroy one another. Fans of Star Wars and Divergent will revel in internationally bestselling author Veronica Roth's stunning new science-fiction fantasy series. On a planet where violence and vengeance rule, in a galaxy where some are favored by fate, everyone develops a currentgift, a unique power meant to shape the future. While most benefit from their currentgifts, Akos and Cyra do not--their gifts make them vulnerable to others' control. Can they reclaim their gifts, their fates, and their lives, and reset the balance of power in this world? Cyra is the sister of the brutal tyrant who rules the Shotet people. Cyra's currentgift gives her pain and power--something her brother exploits, using her to torture his enemies. But Cyra is much more than just a blade in her brother's hand: she is resilient, quick on her feet, and smarter than he knows. Akos is from the peace-loving nation of Thuvhe, and his loyalty to his family is limitless. Though protected by his unusual currentgift, once Akos and his brother are captured by enemy Shotet soldiers, Akos is desperate to get his brother out alive--no matter what the cost. When Akos is thrust into Cyra's world, the enmity between their countries and families seems insurmountable. They must decide to help each other to survive--or to destroy one another."
"captain america: winter soldier (the ultimate graphic novels collection: publication order, #7)",graphiccomics,"the questions plaguing captain america's dreams and memories have been answered in the most brutal way possible. and in the wake of this brutality, general lukin makes his first all-out assault - tearing open old wounds and threatening to make new scars that will never heal! The questions plaguing Captain America's dreams and memories have been answered in the most brutal way possible. And in the wake of this brutality, General Lukin makes his first all-out assault - tearing open old wounds and threatening to make new scars that will never heal!"
"the punisher max, vol",graphiccomics,"5: the slavers . on a pitch-black brooklyn night, in a dead-end alley, frank castle brutally dispatches a crew of albanian thugs menacing a young woman. her name is viorica, she's from moldavia, and when she tells frank her story, that's when the real killing starts! collects punisher #25-30. On a pitch-black Brooklyn night, in a dead-end alley, Frank Castle brutally dispatches a crew of Albanian thugs menacing a young woman. Her name is Viorica, she's from Moldavia, and when she tells Frank her story, that's when the real killing starts! Collects Punisher #25-30."
"pandora hearts, volume 10",graphiccomics,"a century before, in sablier, a forbidden portal was flung wide by a boy, vincent, in his single-minded desire to protect his brother, gilbert. and thus did that foolhardy desire lead to the corruption of that innocent boy's soul like a sweet poison... now, as gil, oz, and alice wander the ruins of the former capital, they are assaulted by illusions from the past. but how much of it is real? and how much of it illusion? A century before, in Sablier, a forbidden portal was flung wide by a boy, Vincent, in his single-minded desire to protect his brother, Gilbert. And thus did that foolhardy desire lead to the corruption of that innocent boy's soul like a sweet poison... Now, as Gil, Oz, and Alice wander the ruins of the former capital, they are assaulted by illusions from the past. But how much of it is real? And how much of it illusion?"
"all-new x-men, vol",graphiccomics,"4: all-different . the x-men are shaken to the core by the battle of the atom. kitty pryde is particularly shaken by the events of the x-men crossover. with her students gone, what is kitty to do? collecting: all-new x-men #18-21, a+x #18 (bendis story), material from x-men: battle of the atom #2 The X-Men are shaken to the core by the Battle of the Atom. Kitty Pryde is particularly shaken by the events of the X-Men crossover. With her students gone, what is Kitty to do? COLLECTING: All-New X-Men #18-21, A+X #18 (Bendis story), material from X-Men: Battle of the Atom #2"
"gambit classic, vol",graphiccomics,"1 . pagin' the ragin' cajun! when storm is reverted to a teenage mutant thief, she's rescued by fellow felon gambit in his first appearance! but befriending even one x-man means making enemies like the shadow king, orphan-maker, and the hounds! after joining the x-men himself, gambit romances fellow southern-born super hero rogue, but how can a thief steal a power-taker's heart when his assassin bride is back from the dead? plus: wolverine, mystique, and more! l'aventure est a l'interieur, mon ami! collects uncanny x-men #265-267 and gambit #1-4. Pagin' the Ragin' Cajun! When Storm is reverted to a teenage mutant thief, she's rescued by fellow felon Gambit in his first appearance! But befriending even one X-Man means making enemies like the Shadow King, Orphan-Maker, and the Hounds! After joining the X-Men himself, Gambit romances fellow southern-born super hero Rogue, but how can a thief steal a power-taker's heart when his assassin bride is back from the dead? Plus: Wolverine, Mystique, and more! L'aventure est a l'interieur, mon ami! Collects Uncanny X-Men #265-267 and Gambit #1-4."
"uncanny x-men by kieron gillen, vol",graphiccomics,"4 . even gods may fall! five x-men - cyclops, emma frost, namor, colossus and magik - have been imbued with the cosmic phoenix force, becoming living avatars of destruction and creation. they have transformed earth into a utopia - but deep underground, hell awaits. mr. sinister, mutant geneticist and longtime x-men foe, has created an entire city and populated it with his own clones. the phoenix five set out to exterminate sinister, but even the phoenix force's power can't prevent them from walking into a trap. as cyclops and his team investigate sinister london, they have no idea they'll soon be facing weaponized x-men clones, forgotten faces from their past and - for the first time since they bonded with the phoenix - the very real threat of total defeat and death. collecting: uncanny x-men #15-20 Even gods may fall! Five X-Men - Cyclops, Emma Frost, Namor, Colossus and Magik - have been imbued with the cosmic Phoenix Force, becoming living avatars of destruction and creation. They have transformed Earth into a Utopia - but deep underground, Hell awaits. Mr. Sinister, mutant geneticist and longtime X-Men foe, has created an entire city and populated it with his own clones. The Phoenix Five set out to exterminate Sinister, but even the Phoenix Force's power can't prevent them from walking into a trap. As Cyclops and his team investigate Sinister London, they have no idea they'll soon be facing weaponized X-Men clones, forgotten faces from their past and - for the first time since they bonded with the Phoenix - the very real threat of total defeat and death. COLLECTING: Uncanny X-Men #15-20"
x-force: phalanx covenant,graphiccomics,"it's the incredible conclusion to fabian nicieza's definitive x-force run! when the techno-organic phalanx kidnap the x-men and establish a foothold on earth, x-force must team with x-factor and excalibur to battle the aliens...but who or what is douglock? and how will x-force react to fighting alongside what appears to be their late friend doug ramsey? then: cable's sentient computer the professor has been granted a physical body! so why is cable getting sicker by the day? collecting:x-factor (1986) 106, x-force (1991) 38-43, excalibur (1988) 82 It's the incredible conclusion to Fabian Nicieza's definitive X-Force run! When the techno-organic Phalanx kidnap the X-Men and establish a foothold on Earth, X-Force must team with X-Factor and Excalibur to battle the aliens...but who or what is Douglock? And how will X-Force react to fighting alongside what appears to be their late friend Doug Ramsey? Then: Cable's sentient computer the Professor has been granted a physical body! So why is Cable getting sicker by the day? COLLECTING:X-Factor (1986) 106, X-Force (1991) 38-43, Excalibur (1988) 82"
"ff by jonathan hickman, vol",graphiccomics,"4 . superstar writer jonathan hickman bids farewell to the ff! in a story that kicks off in spider-man and human torch's bathroom (?!), the future foundation explores the farthest reaches of the marvel universe - from wakanda to the negative zone - encountering the wizard, the universal inhumans and the negative zone's dark overlord himself, annihilus, along the way! and in the heartwarming conclusion to hickman's run, old franklin teaches young franklin ""how to be a god!"" collecting: ff 17-23 Superstar writer Jonathan Hickman bids farewell to the FF! In a story that kicks off in Spider-Man and Human Torch's bathroom (?!), the Future Foundation explores the farthest reaches of the Marvel Universe - from Wakanda to the Negative Zone - encountering the Wizard, the Universal Inhumans and the Negative Zone's dark overlord himself, Annihilus, along the way! And in the heartwarming conclusion to Hickman's run, Old Franklin teaches Young Franklin ""How To Be a God!"" COLLECTING: FF 17-23"
house of m prelude: excalibur,graphiccomics,"callisto answers a cry for help from warren worthington, a.k.a. archangel but callisto and warren have some pretty unpleasant history between them. can they overcome their differences long enough to survive? meanwhile, professor x and magneto struggle to help their disturbed guest on genosha. collecting: excalibur11-14 Callisto answers a cry for help from Warren Worthington, a.k.a. Archangel But Callisto and Warren have some pretty unpleasant history between them. Can they overcome their differences long enough to survive? Meanwhile, Professor X and Magneto struggle to help their disturbed guest on Genosha. Collecting: Excalibur11-14"
"justice league, volume 1: origin",graphiccomics,"as a part of the monumental dc comics--the new 52 event, comics superstars geoff johns and jim lee bring you an all-new origin story for the justice league! in a world where inexperienced superheroes operate under a cloud of suspicion from the public, loner vigilante batman has stumbled upon a dark evil that threatens to destroy the earth as we know it. now, faced with a threat far beyond anything he can handle on his own, the dark knight must trust an alien, a scarlet speedster, an accidental teenage hero, a space cop, an amazon princess and an undersea monarch. will this combination of superman, the flash, cyborg, green lantern, wonder woman and aquaman be able to put aside their differences and come together to save the world? or will they destroy each other first? in one of the most game-changing titles in comic industry history, geoff johns and jim lee re-imagine the classic heroes of the dc universe for the 21st century. collecting: justice league1-6 As a part of the monumental DC Comics--The New 52 event, comics superstars Geoff Johns and Jim Lee bring you an all-new origin story for the Justice League! In a world where inexperienced superheroes operate under a cloud of suspicion from the public, loner vigilante Batman has stumbled upon a dark evil that threatens to destroy the earth as we know it. Now, faced with a threat far beyond anything he can handle on his own, the Dark Knight must trust an alien, a scarlet speedster, an accidental teenage hero, a space cop, an Amazon Princess and an undersea monarch. Will this combination of Superman, The Flash, Cyborg, Green Lantern, Wonder Woman and Aquaman be able to put aside their differences and come together to save the world? Or will they destroy each other first? In one of the most game-changing titles in comic industry history, Geoff Johns and Jim Lee re-imagine the classic heroes of the DC Universe for the 21st century. Collecting: Justice League1-6"
"the walking dead: march to war (the walking dead, #19)",graphiccomics,"the world we knew is gone. the world of commerce and frivolous necessity has been replaced by a world of survival and responsibility. an epidemic of apocalyptic proportions has swept the globe, causing the dead to rise and feed on the living. in a matter of months society has crumbled: no government, no grocery stores, no mail delivery, no cable tv. in a world ruled by the dead, the survivors are forced to finally start living. rick. ezekiel. gregory. negan. each man holds the fate of their community in their hands... and war is on the horizon! The world we knew is gone. The world of commerce and frivolous necessity has been replaced by a world of survival and responsibility. An epidemic of apocalyptic proportions has swept the globe, causing the dead to rise and feed on the living. In a matter of months society has crumbled: no government, no grocery stores, no mail delivery, no cable TV. In a world ruled by the dead, the survivors are forced to finally start living. Rick. Ezekiel. Gregory. Negan. Each man holds the fate of their community in their hands... And war is on the horizon!"
